Aikaleima,Vapaavalintainen anonyymi tunniste ,,Kysymys
1.6.2020,1500,4,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
3.6.2020,7469,3,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,7968,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,9253,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
1.6.2020,21084,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
2.6.2020,34725,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,123098,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,145789,4,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,222426,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,290520,4,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,369369,4,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,2905202010,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
1.6.2020,029,3,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
31.5.2020,0682,5,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
29.5.2020,0907,2,"Elämässäni on ihmisiä, jotka osoittavat välittävänsä minusta."
1.6.2020,1500,3,Selviän arkielämän haasteista.
3.6.2020,7469,4,Selviän arkielämän haasteista.
29.5.2020,7968,4,Selviän arkielämän haasteista.
29.5.2020,9253,4,Selviän arkielämän haasteista.
1.6.2020,21084,3,Selviän arkielämän haasteista.
2.6.2020,34725,4,Selviän arkielämän haasteista.
29.5.2020,123098,4,Selviän arkielämän haasteista.
29.5.2020,145789,3,Selviän arkielämän haasteista.
29.5.2020,222426,5,Selviän arkielämän haasteista.
29.5.2020,290520,4,Selviän arkielämän haasteista.
29.5.2020,369369,3,Selviän arkielämän haasteista.
29.5.2020,2905202010,4,Selviän arkielämän haasteista.
1.6.2020,029,4,Selviän arkielämän haasteista.
31.5.2020,0682,5,Selviän arkielämän haasteista.
29.5.2020,0907,2,Selviän arkielämän haasteista.
1.6.2020,1500,2,Tämän hetkisessä arjessani koen turvattomuutta.
3.6.2020,7469,3,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,7968,1,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,9253,4,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,21084,2,Tämän hetkisessä arjessani koen turvattomuutta.
2.6.2020,34725,3,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,123098,2,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,145789,2,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,222426,4,Tämän hetkisessä arjessani koen turvattomuutta.
2.6.2020,290520,3,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,369369,2,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,2905202010,2,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,029,2,Tämän hetkisessä arjessani koen turvattomuutta.
31.5.2020,0682,3,Tämän hetkisessä arjessani koen turvattomuutta.
2.6.2020,0907,4,Tämän hetkisessä arjessani koen turvattomuutta.
1.6.2020,1500,4,Soimaan itseäni mokista tarpeettomasti.
3.6.2020,7469,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,7968,3,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,9253,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,21084,2,Soimaan itseäni mokista tarpeettomasti.
2.6.2020,34725,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,123098,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,145789,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,222426,4,Soimaan itseäni mokista tarpeettomasti.
2.6.2020,290520,2,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,369369,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,2905202010,4,Soimaan itseäni mokista tarpeettomasti.
1.6.2020,029,3,Soimaan itseäni mokista tarpeettomasti.
31.5.2020,0682,4,Soimaan itseäni mokista tarpeettomasti.
2.6.2020,0907,4,Soimaan itseäni mokista tarpeettomasti.
2.6.2020,1500,4,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,7968,3,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,9253,1,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,21084,2,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,34725,3,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,123098,1,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,145789,2,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,222426,2,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
3.6.2020,290520,2,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,369369,3,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,2905202010,3,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,029,2,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,0907,1,"Olen ryhmässä mieluiten hiljaa, sillä pelkään sanovani jotain typerää, enkä kaipaa muiden huomiota."
2.6.2020,1500,4,"Pelkään, että en ole riittävän hyvä."
2.6.2020,7968,2,"Pelkään, että en ole riittävän hyvä."
2.6.2020,9253,5,"Pelkään, että en ole riittävän hyvä."
2.6.2020,21084,3,"Pelkään, että en ole riittävän hyvä."
2.6.2020,34725,3,"Pelkään, että en ole riittävän hyvä."
2.6.2020,123098,2,"Pelkään, että en ole riittävän hyvä."
2.6.2020,145789,4,"Pelkään, että en ole riittävän hyvä."
2.6.2020,222426,5,"Pelkään, että en ole riittävän hyvä."
3.6.2020,290520,2,"Pelkään, että en ole riittävän hyvä."
2.6.2020,369369,3,"Pelkään, että en ole riittävän hyvä."
2.6.2020,2905202010,4,"Pelkään, että en ole riittävän hyvä."
2.6.2020,029,3,"Pelkään, että en ole riittävän hyvä."
2.6.2020,0907,5,"Pelkään, että en ole riittävän hyvä."
3.6.2020,1500,4,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,7968,5,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,9253,5,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,34725,4,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,123098,5,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,145789,4,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,222426,5,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,2905202010,5,Koti on turvallisen tuntuinen paikka minulle.
3.6.2020,029,4,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,1500,2,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,7968,5,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,9253,5,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,34725,4,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,123098,4,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,145789,3,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,222426,4,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,2905202010,3,Uudet asiat ovat mahdollisuuksia ei uhkia.
3.6.2020,029,4,Uudet asiat ovat mahdollisuuksia ei uhkia.
4.6.2020,1500,,Luotan tulevaan.
4.6.2020,7968,2,Luotan tulevaan.
4.6.2020,9253,4,Luotan tulevaan.
4.6.2020,21084,4,Luotan tulevaan.
8.6.2020,34725,3,Luotan tulevaan.
4.6.2020,123098,4,Luotan tulevaan.
4.6.2020,145789,4,Luotan tulevaan.
4.6.2020,222426,3,Luotan tulevaan.
6.6.2020,290520,2,Luotan tulevaan.
4.6.2020,369369,4,Luotan tulevaan.
4.6.2020,2905202010,3,Luotan tulevaan.
4.6.2020,029,3,Luotan tulevaan.
6.6.2020,0704,4,Luotan tulevaan.
4.6.2020,0907,3,Luotan tulevaan.
4.6.2020,1500,3,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,7968,2,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,9253,5,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,21084,3,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
8.6.2020,34725,3,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,123098,4,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,145789,1,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,222426,4,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
6.6.2020,290520,3,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,369369,4,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,2905202010,4,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,029,3,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
6.6.2020,0704,4,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
4.6.2020,0907,4,"Minun on aina suoriuduttava hyvin elämässäni, että pärjään."
5.6.2020,1500,3,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,7968,5,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,9253,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,21084,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,123098,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,145789,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
6.6.2020,222426,5,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
6.6.2020,290520,3,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
6.6.2020,369369,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,2905202010,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,029,5,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,0907,2,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
8.6.2020,34725,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
8.6.2020,0704,4,"Uskon, että selviän tämän päivän tehtävistäni hyvin."
5.6.2020,1500,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,7968,3,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
5.6.2020,9253,5,"Haluan palautetta melko usein, sillä muuten en tiedä, ollaanko työhöni tyytyväisiä."
